id,start_date,name,distance,moving_time,elapsed_time,total_elevation_gain,type,start_date_local,average_speed,max_speed,average_cadence,average_heartrate,max_heartrate,suffer_score
9855590628,2023-09-15T17:34:27Z,Evening Run,8068.9,2278,2538,14.4,Run,2023-09-15T19:34:27Z,3.542,8.518,80.3,145.2,159.0,10.0
9849763537,2023-09-14T17:48:05Z,East Amsterdam.,11281.5,3122,3784,12.8,Run,2023-09-14T19:48:05Z,3.614,7.395,79.6,159.2,180.0,51.0
9820100124,2023-09-10T06:53:51Z,More Pest than Buda,6448.3,1798,2527,25.7,Run,2023-09-10T08:53:51Z,3.586,6.08,80.4,155.9,187.0,23.0
9806869211,2023-09-08T08:31:17Z,Prague,4842.0,1433,1696,54.4,Run,2023-09-08T10:31:17Z,3.379,8.835,80.4,155.2,175.0,17.0
9795362917,2023-09-06T13:31:26Z,Afternoon Run,6465.0,1678,2447,4.9,Run,2023-09-06T15:31:26Z,3.853,6.042,82.1,165.2,188.0,36.0
9782339789,2023-09-04T15:11:24Z,Hard fought,11280.0,3076,3650,32.6,Run,2023-09-04T17:11:24Z,3.667,5.784,81.9,160.4,188.0,50.0
9776050094,2023-09-03T14:19:26Z,Afternoon Run,6447.9,1777,2010,23.1,Run,2023-09-03T16:19:26Z,3.629,4.9,81.1,153.4,169.0,19.0
9762476608,2023-09-01T14:14:50Z,Zoinks,12889.0,3483,3617,21.7,Run,2023-09-01T16:14:50Z,3.701,5.878,81.9,158.6,184.0,51.0
9758112648,2023-08-31T19:21:13Z,Night Run,6448.2,1883,1902,9.2,Run,2023-08-31T21:21:13Z,3.424,4.78,79.7,158.6,174.0,30.0
9751025518,2023-08-30T17:22:36Z,Evening Run,8065.2,2191,2247,9.5,Run,2023-08-30T19:22:36Z,3.681,6.433,80.7,156.3,189.0,29.0
9743661847,2023-08-29T15:18:13Z,Afternoon Run,9673.0,2657,3077,12.6,Run,2023-08-29T17:18:13Z,3.641,5.533,80.9,154.6,179.0,32.0
9732009793,2023-08-27T15:59:43Z,Afternoon Run,4833.4,1344,1571,0.0,Run,2023-08-27T17:59:43Z,3.596,4.608,81.6,163.8,182.0,27.0
9726260851,2023-08-26T17:35:25Z,Ran into a cool bridge,11281.4,3053,3771,22.9,Run,2023-08-26T19:35:25Z,3.695,5.164,81.5,154.2,186.0,34.0
9719066983,2023-08-25T15:52:28Z,Afternoon Run,8064.7,2226,2473,10.0,Run,2023-08-25T17:52:28Z,3.623,4.97,81.0,167.0,186.0,53.0
9700905839,2023-08-22T18:43:12Z,Afternoon Run,11282.9,3062,3444,102.0,Run,2023-08-22T14:43:12Z,3.685,6.006,81.3,170.2,190.0,80.0
9678926037,2023-08-19T12:17:13Z,7 for 7 for 7,10644.9,3987,5283,15.7,Run,2023-08-19T08:17:13Z,2.67,4.044,78.0,138.6,153.0,15.0
9669561583,2023-08-17T23:56:51Z,Chasing streetlights,6456.1,1778,1833,37.1,Run,2023-08-17T19:56:51Z,3.631,5.016,80.9,158.6,180.0,27.0
9660770948,2023-08-16T16:32:09Z,Lunch Run,8115.2,2432,2828,67.7,Run,2023-08-16T12:32:09Z,3.337,5.302,80.3,155.5,187.0,31.0
9648969210,2023-08-14T23:25:07Z,Legs were hungry,12889.6,3584,3593,63.6,Run,2023-08-14T19:25:07Z,3.596,5.728,81.8,168.6,191.0,92.0
9642541460,2023-08-13T22:17:51Z,Evening Run,5639.2,1513,1665,43.2,Run,2023-08-13T18:17:51Z,3.727,4.8,82.3,157.0,187.0,19.0
9635939892,2023-08-12T23:30:31Z,Went Postal,9666.6,2803,3166,89.5,Run,2023-08-12T19:30:31Z,3.449,4.746,81.4,164.6,184.0,58.0
9629516451,2023-08-12T00:34:30Z,Evening Run,4029.9,1146,1268,8.1,Run,2023-08-11T20:34:30Z,3.516,4.437,80.7,148.0,166.0,8.0
9623215362,2023-08-10T22:56:28Z,Endurance 🔓,9674.2,2709,2810,55.0,Run,2023-08-10T18:56:28Z,3.571,4.69,82.3,166.2,192.0,60.0
9608092517,2023-08-08T17:02:52Z,Out here in Acadia national park,11273.7,3170,3256,112.3,Run,2023-08-08T13:02:52Z,3.556,4.906,81.8,165.7,185.0,69.0
9596392768,2023-08-06T19:32:17Z,Afternoon Run,8057.0,2276,2641,71.1,Run,2023-08-06T15:32:17Z,3.54,4.982,82.1,168.8,197.0,54.0
9580520479,2023-08-04T10:43:54Z,Morning Run,2491.0,700,700,0.0,Run,2023-08-04T06:43:54Z,3.559,7.037,83.4,148.6,169.0,5.0
9574290938,2023-08-03T10:43:52Z,Morning Run,2467.2,694,694,0.0,Run,2023-08-03T06:43:52Z,3.555,6.498,82.8,151.5,167.0,6.0
9568299116,2023-08-02T11:44:04Z,Morning Run,4929.5,1374,1483,0.0,Run,2023-08-02T07:44:04Z,3.588,7.16,83.2,156.9,174.0,19.0
9561248163,2023-08-01T10:26:16Z,Morning Run,6442.9,1778,2488,2.1,Run,2023-08-01T06:26:16Z,3.624,4.9,82.7,156.9,184.0,26.0
9554933088,2023-07-31T11:01:34Z,Morning Run,853.7,279,279,0.0,Run,2023-07-31T07:01:34Z,3.06,3.494,81.6,140.3,151.0,1.0
9554858808,2023-07-31T10:43:50Z,Morning Run,2474.4,608,608,0.0,Run,2023-07-31T06:43:50Z,4.07,5.046,83.0,148.8,161.0,4.0
9549939124,2023-07-30T13:04:21Z,"$5,000 richer",6513.5,2261,2266,73.8,Run,2023-07-30T09:04:21Z,2.881,3.918,79.3,144.6,155.0,10.0
9540098572,2023-07-28T23:11:55Z,Evening Run,6445.4,1827,2286,71.1,Run,2023-07-28T19:11:55Z,3.528,4.98,81.3,154.7,184.0,21.0
9534560220,2023-07-28T00:10:06Z,Evening Run,4846.3,1324,1458,36.7,Run,2023-07-27T20:10:06Z,3.66,5.351,81.8,158.6,178.0,21.0
9528192856,2023-07-26T22:31:59Z,Evening Run,6449.9,1754,1965,30.5,Run,2023-07-26T18:31:59Z,3.677,4.506,82.2,159.2,190.0,27.0
9521650634,2023-07-25T21:51:58Z,Afternoon Run,9669.4,2655,2854,74.8,Run,2023-07-25T17:51:58Z,3.642,4.996,81.5,161.5,194.0,47.0
9506098598,2023-07-23T12:20:44Z,Morning Run,5728.2,1958,2006,40.1,Run,2023-07-23T08:20:44Z,2.926,4.163,78.8,145.3,167.0,12.0
9503144354,2023-07-23T00:22:23Z,Evening Run,8072.2,2217,2362,67.9,Run,2023-07-22T20:22:23Z,3.641,5.1,81.2,166.9,191.0,51.0
9495141449,2023-07-21T17:05:32Z,Afternoon Run,4838.7,1341,1440,16.9,Run,2023-07-21T13:05:32Z,3.608,5.272,81.2,158.9,184.0,20.0
9491141195,2023-07-21T00:15:19Z,Evening Run,8061.1,2238,2383,76.1,Run,2023-07-20T20:15:19Z,3.602,5.333,81.6,161.6,186.0,39.0
9484220190,2023-07-19T21:26:59Z,Afternoon Run,9662.1,2737,3401,38.2,Run,2023-07-19T17:26:59Z,3.53,5.282,80.9,173.7,191.0,83.0
9461836311,2023-07-16T12:18:41Z,Morning Run,4382.7,1510,1546,26.8,Run,2023-07-16T08:18:41Z,2.902,3.783,79.2,147.2,166.0,10.0
9458567865,2023-07-15T23:04:19Z,Evening Run,4940.0,1380,1540,22.3,Run,2023-07-15T19:04:19Z,3.58,4.573,81.3,163.1,183.0,26.0
9452491497,2023-07-14T23:48:29Z,Evening Run,8066.6,2248,2464,66.4,Run,2023-07-14T19:48:29Z,3.588,5.127,82.1,168.1,190.0,53.0
9446053335,2023-07-13T20:23:30Z,Afternoon Run,5634.6,1547,1616,43.8,Run,2023-07-13T16:23:30Z,3.642,4.81,81.3,162.9,191.0,31.0
9439952184,2023-07-12T20:45:09Z,Afternoon Run,4835.9,1341,1731,27.3,Run,2023-07-12T16:45:09Z,3.606,5.876,80.0,155.7,186.0,18.0
9433162452,2023-07-11T19:18:45Z,Afternoon Run,8067.8,2279,2813,71.4,Run,2023-07-11T15:18:45Z,3.54,5.058,80.6,165.5,190.0,51.0
9418159359,2023-07-09T12:18:02Z,Morning Run,5100.5,1724,1724,35.4,Run,2023-07-09T08:18:02Z,2.958,3.991,79.4,146.6,158.0,9.0
9414845852,2023-07-08T23:14:31Z,Evening Run,4847.7,1408,1408,21.1,Run,2023-07-08T19:14:31Z,3.443,4.812,80.6,156.3,181.0,19.0
